time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-02 00:00:00+00:00,57,20,383,82
2024-04-03 00:00:00+00:00,4,4,244,75
2024-04-04 00:00:00+00:00,111,32,474,71
2024-04-05 00:00:00+00:00,8,4,330,60
2024-04-06 00:00:00+00:00,38,19,347,54
2024-04-07 00:00:00+00:00,42,16,231,52
2024-04-08 00:00:00+00:00,14,14,378,57
2024-04-09 00:00:00+00:00,48,16,372,70
2024-04-10 00:00:00+00:00,8,8,395,79
2024-04-11 00:00:00+00:00,40,20,387,69
2024-04-12 00:00:00+00:00,10,7,256,56
2024-04-13 00:00:00+00:00,20,11,107,34
2024-04-14 00:00:00+00:00,8,7,136,42
2024-04-15 00:00:00+00:00,24,15,276,56
2024-04-16 00:00:00+00:00,76,23,296,62
2024-04-17 00:00:00+00:00,16,10,319,58
2024-04-18 00:00:00+00:00,52,19,200,55
2024-04-19 00:00:00+00:00,25,10,267,52
2024-04-20 00:00:00+00:00,9,7,80,32
2024-04-21 00:00:00+00:00,49,16,113,48
2024-04-22 00:00:00+00:00,14,9,358,58
2024-04-23 00:00:00+00:00,19,11,251,43
2024-04-24 00:00:00+00:00,98,25,444,56
2024-04-25 00:00:00+00:00,15,10,250,62
2024-04-26 00:00:00+00:00,35,16,207,40
2024-04-27 00:00:00+00:00,11,8,112,42
2024-04-28 00:00:00+00:00,174,48,247,50
2024-04-29 00:00:00+00:00,19,10,133,36
2024-04-30 00:00:00+00:00,11,8,661,52
2024-05-01 00:00:00+00:00,8,8,235,44
2024-05-02 00:00:00+00:00,3,3,176,46
2024-05-03 00:00:00+00:00,47,22,217,42
2024-05-04 00:00:00+00:00,26,14,207,33
2024-05-05 00:00:00+00:00,9,7,39,19
2024-05-06 00:00:00+00:00,16,14,104,42
2024-05-07 00:00:00+00:00,4,4,319,39
2024-05-08 00:00:00+00:00,14,11,158,35
2024-05-09 00:00:00+00:00,19,10,185,35
2024-05-10 00:00:00+00:00,10,7,105,37
2024-05-11 00:00:00+00:00,14,10,198,34
2024-05-12 00:00:00+00:00,35,12,133,25
2024-05-13 00:00:00+00:00,9,9,294,35
2024-05-14 00:00:00+00:00,11,7,254,47
2024-05-15 00:00:00+00:00,56,22,121,28
2024-05-16 00:00:00+00:00,12,8,222,37
2024-05-17 00:00:00+00:00,15,10,161,36
2024-05-18 00:00:00+00:00,75,29,177,27
2024-05-19 00:00:00+00:00,8,8,80,27
2024-05-20 00:00:00+00:00,8,8,205,37
2024-05-21 00:00:00+00:00,18,12,149,31
2024-05-22 00:00:00+00:00,46,18,231,55
2024-05-23 00:00:00+00:00,10,9,288,66
2024-05-24 00:00:00+00:00,8,8,325,66
2024-05-25 00:00:00+00:00,8,8,536,36
2024-05-26 00:00:00+00:00,17,9,179,35
2024-05-27 00:00:00+00:00,97,33,352,43
2024-05-28 00:00:00+00:00,17,7,391,57
2024-05-29 00:00:00+00:00,37,19,431,65
2024-05-30 00:00:00+00:00,36,10,592,53
2024-05-31 00:00:00+00:00,40,19,188,34
2024-06-01 00:00:00+00:00,9,5,173,36
2024-06-02 00:00:00+00:00,39,19,165,46
2024-06-03 00:00:00+00:00,35,15,165,50
2024-06-04 00:00:00+00:00,15,10,325,55
2024-06-05 00:00:00+00:00,9,6,111,35
2024-06-06 00:00:00+00:00,16,11,313,52
2024-06-07 00:00:00+00:00,12,8,314,38
2024-06-08 00:00:00+00:00,30,15,717,46
2024-06-09 00:00:00+00:00,6,6,373,46
2024-06-10 00:00:00+00:00,11,7,123,40
2024-06-11 00:00:00+00:00,9,9,191,39
2024-06-12 00:00:00+00:00,10,7,111,38
2024-06-13 00:00:00+00:00,8,7,344,33
2024-06-14 00:00:00+00:00,10,7,223,49
2024-06-15 00:00:00+00:00,2,2,70,25
2024-06-16 00:00:00+00:00,21,5,112,28
2024-06-17 00:00:00+00:00,35,12,103,25
2024-06-18 00:00:00+00:00,9,7,199,40
2024-06-19 00:00:00+00:00,11,9,160,37
2024-06-20 00:00:00+00:00,12,9,185,40
2024-06-21 00:00:00+00:00,7,7,103,35
2024-06-22 00:00:00+00:00,4,4,118,30
2024-06-23 00:00:00+00:00,36,9,59,22
2024-06-24 00:00:00+00:00,40,11,176,31
2024-06-25 00:00:00+00:00,29,9,305,43
2024-06-26 00:00:00+00:00,45,5,287,38
2024-06-27 00:00:00+00:00,77,12,221,39
2024-06-28 00:00:00+00:00,2,2,205,40
2024-06-29 00:00:00+00:00,15,4,303,32
2024-06-30 00:00:00+00:00,45,10,457,29
2024-07-01 00:00:00+00:00,100,13,302,35
2024-07-02 00:00:00+00:00,20,3,231,31
2024-07-03 00:00:00+00:00,37,8,155,38
2024-07-04 00:00:00+00:00,6,6,213,31
2024-07-05 00:00:00+00:00,37,5,301,34
2024-07-06 00:00:00+00:00,21,2,271,27
2024-07-07 00:00:00+00:00,7,6,192,26
2024-07-08 00:00:00+00:00,2,2,101,36
2024-07-09 00:00:00+00:00,5,4,76,28
2024-07-10 00:00:00+00:00,26,3,414,47
2024-07-11 00:00:00+00:00,37,6,274,47
2024-07-12 00:00:00+00:00,35,7,185,29
2024-07-13 00:00:00+00:00,119,6,227,25
2024-07-14 00:00:00+00:00,66,9,278,27
2024-07-15 00:00:00+00:00,17,6,139,28
2024-07-16 00:00:00+00:00,3,3,379,25
2024-07-17 00:00:00+00:00,8,7,439,34
2024-07-18 00:00:00+00:00,4,3,201,45
2024-07-19 00:00:00+00:00,25,9,213,27
2024-07-20 00:00:00+00:00,3,2,84,27
2024-07-21 00:00:00+00:00,51,5,97,19
2024-07-22 00:00:00+00:00,4,3,214,30
2024-07-23 00:00:00+00:00,4,3,152,33
2024-07-24 00:00:00+00:00,20,6,121,33
2024-07-25 00:00:00+00:00,3,3,173,30
2024-07-26 00:00:00+00:00,4,3,128,21
2024-07-27 00:00:00+00:00,51,7,84,26
2024-07-28 00:00:00+00:00,54,10,146,22
2024-07-29 00:00:00+00:00,24,7,138,38
2024-07-30 00:00:00+00:00,3,2,308,28
2024-07-31 00:00:00+00:00,7,5,108,22
2024-08-01 00:00:00+00:00,5,5,70,25
2024-08-02 00:00:00+00:00,4,3,139,22
2024-08-03 00:00:00+00:00,3,3,109,23
2024-08-04 00:00:00+00:00,5,4,37,14
2024-08-05 00:00:00+00:00,8,6,118,28
2024-08-06 00:00:00+00:00,13,3,236,21
2024-08-07 00:00:00+00:00,60,9,278,27
2024-08-08 00:00:00+00:00,31,7,555,30
2024-08-09 00:00:00+00:00,33,4,147,23
2024-08-10 00:00:00+00:00,106,10,265,21
2024-08-11 00:00:00+00:00,6,3,251,20
2024-08-12 00:00:00+00:00,16,5,147,32
2024-08-13 00:00:00+00:00,68,6,336,35
2024-08-14 00:00:00+00:00,21,6,157,36
2024-08-15 00:00:00+00:00,2,2,184,46
2024-08-16 00:00:00+00:00,10,5,177,32
2024-08-17 00:00:00+00:00,5,5,317,22
2024-08-18 00:00:00+00:00,25,7,154,29
2024-08-19 00:00:00+00:00,7,5,146,32
2024-08-20 00:00:00+00:00,17,7,159,33
2024-08-21 00:00:00+00:00,56,8,226,40
2024-08-22 00:00:00+00:00,5,4,233,55
2024-08-23 00:00:00+00:00,2,2,184,36
2024-08-24 00:00:00+00:00,22,5,239,22
2024-08-25 00:00:00+00:00,4,2,142,24
2024-08-26 00:00:00+00:00,5,5,405,38
2024-08-27 00:00:00+00:00,20,6,156,34
2024-08-28 00:00:00+00:00,30,7,283,38
2024-08-29 00:00:00+00:00,3,3,110,32
2024-08-30 00:00:00+00:00,8,7,446,37
2024-08-31 00:00:00+00:00,3,3,129,15
2024-09-01 00:00:00+00:00,29,8,248,32
2024-09-02 00:00:00+00:00,7,7,245,24
2024-09-03 00:00:00+00:00,7,4,530,36
2024-09-04 00:00:00+00:00,0,0,309,35
2024-09-05 00:00:00+00:00,23,7,205,36
2024-09-06 00:00:00+00:00,2,2,244,36
2024-09-07 00:00:00+00:00,1,1,86,19
2024-09-08 00:00:00+00:00,11,4,88,18
2024-09-09 00:00:00+00:00,5,4,109,33
2024-09-10 00:00:00+00:00,7,7,188,30
2024-09-11 00:00:00+00:00,21,4,149,21
2024-09-12 00:00:00+00:00,4,4,230,42
2024-09-13 00:00:00+00:00,1,1,110,26
2024-09-14 00:00:00+00:00,5,4,175,16
2024-09-15 00:00:00+00:00,6,4,84,21
2024-09-16 00:00:00+00:00,12,6,300,24
2024-09-17 00:00:00+00:00,15,15,1895,223
2024-09-18 00:00:00+00:00,19,19,1956,226
2024-09-19 00:00:00+00:00,11,11,1696,135
2024-09-20 00:00:00+00:00,31,14,872,113
2024-09-21 00:00:00+00:00,1,1,850,72
2024-09-22 00:00:00+00:00,5,4,402,62
2024-09-23 00:00:00+00:00,7,7,679,66
2024-09-24 00:00:00+00:00,12,8,692,70
2024-09-25 00:00:00+00:00,34,13,822,71
2024-09-26 00:00:00+00:00,19,5,527,67
2024-09-27 00:00:00+00:00,14,12,529,96
2024-09-28 00:00:00+00:00,5,5,330,53
2024-09-29 00:00:00+00:00,2,2,296,51
2024-09-30 00:00:00+00:00,8,8,378,82
2024-10-01 00:00:00+00:00,42,8,415,68
2024-10-02 00:00:00+00:00,1,1,258,56
2024-10-03 00:00:00+00:00,5,5,285,43
2024-10-04 00:00:00+00:00,3,3,227,43
2024-10-05 00:00:00+00:00,20,7,474,72
2024-10-06 00:00:00+00:00,14,10,282,70
2024-10-07 00:00:00+00:00,7,6,285,51
2024-10-08 00:00:00+00:00,13,8,233,64
2024-10-09 00:00:00+00:00,6,5,234,75
2024-10-10 00:00:00+00:00,10,9,210,49
2024-10-11 00:00:00+00:00,4,3,334,49
2024-10-12 00:00:00+00:00,0,0,139,34
2024-10-13 00:00:00+00:00,18,5,117,37
2024-10-14 00:00:00+00:00,9,9,168,63
2024-10-15 00:00:00+00:00,5,5,137,47
2024-10-16 00:00:00+00:00,2,2,270,54
2024-10-17 00:00:00+00:00,9,7,205,45
2024-10-18 00:00:00+00:00,12,8,267,42
2024-10-19 00:00:00+00:00,21,3,156,32
2024-10-20 00:00:00+00:00,2,2,121,36
2024-10-21 00:00:00+00:00,4,4,270,38
2024-10-22 00:00:00+00:00,3,3,127,31
2024-10-23 00:00:00+00:00,3,3,256,56
2024-10-24 00:00:00+00:00,0,0,85,35
2024-10-25 00:00:00+00:00,4,4,225,44
2024-10-26 00:00:00+00:00,6,6,212,38
2024-10-27 00:00:00+00:00,6,6,41,26
2024-10-28 00:00:00+00:00,21,4,129,49
2024-10-29 00:00:00+00:00,8,5,234,43
2024-10-30 00:00:00+00:00,21,3,151,44
2024-10-31 00:00:00+00:00,24,6,156,41
2024-11-01 00:00:00+00:00,20,6,171,47
2024-11-02 00:00:00+00:00,2,2,166,32
2024-11-03 00:00:00+00:00,3,3,187,40
2024-11-04 00:00:00+00:00,7,7,196,35
2024-11-05 00:00:00+00:00,34,11,67,21
2024-11-06 00:00:00+00:00,3,1,119,37
2024-11-07 00:00:00+00:00,4,4,217,38
2024-11-08 00:00:00+00:00,8,5,253,40
2024-11-09 00:00:00+00:00,79,8,152,33
2024-11-10 00:00:00+00:00,25,5,132,29
2024-11-11 00:00:00+00:00,17,7,208,44
2024-11-12 00:00:00+00:00,3,3,223,44
2024-11-13 00:00:00+00:00,16,3,254,51
2024-11-14 00:00:00+00:00,1,1,298,48
2024-11-15 00:00:00+00:00,35,7,150,33
2024-11-16 00:00:00+00:00,1,1,101,28
2024-11-17 00:00:00+00:00,4,4,113,28
2024-11-18 00:00:00+00:00,17,6,133,40
2024-11-19 00:00:00+00:00,1,1,171,35
2024-11-20 00:00:00+00:00,0,0,209,32
2024-11-21 00:00:00+00:00,6,5,154,43
2024-11-22 00:00:00+00:00,10,3,162,37
2024-11-23 00:00:00+00:00,3,3,230,31
2024-11-24 00:00:00+00:00,6,5,69,28
2024-11-25 00:00:00+00:00,15,4,174,34
2024-11-26 00:00:00+00:00,25,6,196,37
2024-11-27 00:00:00+00:00,6,5,119,38
2024-11-28 00:00:00+00:00,3,1,103,39
2024-11-29 00:00:00+00:00,1,1,62,25
2024-11-30 00:00:00+00:00,11,6,106,23
2024-12-01 00:00:00+00:00,6,5,78,25
2024-12-02 00:00:00+00:00,14,4,134,39
2024-12-03 00:00:00+00:00,6,4,90,28
2024-12-04 00:00:00+00:00,4,2,118,30
2024-12-05 00:00:00+00:00,6,6,195,27
2024-12-06 00:00:00+00:00,3,1,78,28
2024-12-07 00:00:00+00:00,2,2,68,20
2024-12-08 00:00:00+00:00,10,4,132,23
2024-12-09 00:00:00+00:00,33,4,64,31
2024-12-10 00:00:00+00:00,2,2,80,27
2024-12-11 00:00:00+00:00,2,2,303,41
