url_path,views_total,views_unique
/floneum/floneum,338,192
/floneum/floneum/tree/main/interfaces/kalosm,114,73
/floneum/floneum/tree/main,51,32
/floneum/floneum/releases/tag/v0.2.0,47,26
/floneum/floneum/tree/main/interfaces/kalosm/examples,46,33
/floneum/floneum/blob/main/interfaces/kalosm/examples/tools.rs,22,15
/floneum/floneum/tree/main/floneum/floneum,21,20
/floneum/floneum/blob/main/interfaces/kalosm/examples/chat.rs,21,16
/floneum/floneum/tree/main/models,19,14
/floneum/floneum/tree/main/interfaces,18,10
