time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-19 00:00:00+00:00,2.0,2.0,112,33
2024-12-20 00:00:00+00:00,5.0,4.0,80,36
2024-12-21 00:00:00+00:00,7.0,6.0,94,21
2024-12-22 00:00:00+00:00,5.0,4.0,110,29
2024-12-23 00:00:00+00:00,11.0,5.0,77,22
2024-12-24 00:00:00+00:00,3.0,2.0,66,22
2024-12-25 00:00:00+00:00,4.0,4.0,76,19
2024-12-26 00:00:00+00:00,14.0,5.0,72,26
2024-12-27 00:00:00+00:00,42.0,8.0,161,32
2024-12-28 00:00:00+00:00,29.0,5.0,195,30
2024-12-29 00:00:00+00:00,17.0,4.0,89,29
2024-12-30 00:00:00+00:00,5.0,2.0,127,39
2024-12-31 00:00:00+00:00,,,125,27
2025-01-01 00:00:00+00:00,,,110,16
