url_path,views_total,views_unique
/floneum/floneum,875,440
/floneum/floneum/tree/main/interfaces/kalosm,468,189
/floneum/floneum/tree/main/interfaces/kalosm/examples,221,76
/floneum/floneum/issues,129,49
/floneum/floneum/tree/main/interfaces,127,39
/floneum/floneum/tree/main/floneum/floneum,123,61
/floneum/floneum/tree/main,96,55
/floneum/floneum/releases/tag/v0.2.0,95,56
/floneum/floneum/blob/main/interfaces/kalosm/examples/chat.rs,70,42
/floneum/floneum/blob/main/interfaces/kalosm/examples/axum.rs,64,22
