time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-09 00:00:00+00:00,33,4,64,31
2024-12-10 00:00:00+00:00,2,2,80,27
2024-12-11 00:00:00+00:00,4,3,303,41
2024-12-12 00:00:00+00:00,6,6,160,30
2024-12-13 00:00:00+00:00,7,3,196,51
2024-12-14 00:00:00+00:00,22,10,154,31
2024-12-15 00:00:00+00:00,77,5,117,30
2024-12-16 00:00:00+00:00,12,7,117,36
2024-12-17 00:00:00+00:00,8,6,112,35
2024-12-18 00:00:00+00:00,12,4,215,32
2024-12-19 00:00:00+00:00,2,2,112,33
2024-12-20 00:00:00+00:00,5,4,80,36
2024-12-21 00:00:00+00:00,7,6,94,21
2024-12-22 00:00:00+00:00,5,4,110,29
