url_path,views_total,views_unique
/floneum/floneum,868,427
/floneum/floneum/tree/main/interfaces/kalosm,491,182
/floneum/floneum/tree/main/interfaces/kalosm/examples,250,70
/floneum/floneum/tree/main/floneum/floneum,135,65
/floneum/floneum/tree/main/interfaces,134,37
/floneum/floneum/issues,122,45
/floneum/floneum/tree/main,100,56
/floneum/floneum/releases/tag/v0.2.0,97,57
/floneum/floneum/blob/main/interfaces/kalosm/examples/chat.rs,77,42
/floneum/floneum/blob/main/interfaces/kalosm/examples/axum.rs,77,23
