time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-08 00:00:00+00:00,8.0,5.0,253,40
2024-11-09 00:00:00+00:00,79.0,8.0,152,33
2024-11-10 00:00:00+00:00,25.0,5.0,132,29
2024-11-11 00:00:00+00:00,17.0,7.0,208,44
2024-11-12 00:00:00+00:00,3.0,3.0,223,44
2024-11-13 00:00:00+00:00,16.0,3.0,254,51
2024-11-14 00:00:00+00:00,1.0,1.0,298,48
2024-11-15 00:00:00+00:00,35.0,7.0,150,33
2024-11-16 00:00:00+00:00,1.0,1.0,101,28
2024-11-17 00:00:00+00:00,4.0,4.0,113,28
2024-11-18 00:00:00+00:00,17.0,6.0,133,40
2024-11-19 00:00:00+00:00,1.0,1.0,171,35
2024-11-20 00:00:00+00:00,,,209,32
2024-11-21 00:00:00+00:00,6.0,5.0,150,40
