url_path,views_total,views_unique
/floneum/floneum,325,191
/floneum/floneum/tree/main/interfaces/kalosm,119,74
/floneum/floneum/tree/main/interfaces/kalosm/examples,46,32
/floneum/floneum/tree/main,45,30
/floneum/floneum/releases/tag/v0.2.0,41,23
/floneum/floneum/tree/main/floneum/floneum,24,21
/floneum/floneum/blob/main/interfaces/kalosm/examples/tools.rs,22,15
/floneum/floneum/issues,21,9
/floneum/floneum/blob/main/interfaces/kalosm/examples/chat.rs,20,14
/floneum/floneum/tree/main/models,19,14
