url_path,views_total,views_unique
/floneum/floneum,328,184
/floneum/floneum/tree/main/interfaces/kalosm,112,74
/floneum/floneum/tree/main,52,31
/floneum/floneum/releases/tag/v0.2.0,48,27
/floneum/floneum/tree/main/interfaces/kalosm/examples,42,30
/floneum/floneum/tree/main/floneum/floneum,22,21
/floneum/floneum/pull/313,22,8
/floneum/floneum/blob/main/interfaces/kalosm/examples/chat.rs,21,17
/floneum/floneum/blob/main/interfaces/kalosm/examples/tools.rs,20,14
/floneum/floneum/tree/main/interfaces,19,10
