url_path,views_total,views_unique
/floneum/floneum,429,242
/floneum/floneum/tree/main/interfaces/kalosm,143,93
/floneum/floneum/releases/tag/v0.2.0,70,41
/floneum/floneum/issues,60,22
/floneum/floneum/tree/main/floneum/floneum,57,41
/floneum/floneum/tree/main/interfaces/kalosm/examples,54,36
/floneum/floneum/tree/main,46,32
/floneum/floneum/tree/main/models,36,17
/floneum/floneum/blob/main/interfaces/kalosm/examples/chat.rs,33,18
/floneum/floneum/blob/main/interfaces/kalosm/examples/transcribe.rs,31,20
