url_path,views_total,views_unique
/floneum/floneum,352,194
/floneum/floneum/tree/main/interfaces/kalosm,115,69
/floneum/floneum/tree/main,57,29
/floneum/floneum/tree/main/interfaces/kalosm/examples,47,32
/floneum/floneum/releases/tag/v0.2.0,47,25
/floneum/floneum/tree/main/interfaces,30,12
/floneum/floneum/blob/main/interfaces/kalosm/examples/tools.rs,27,20
/floneum/floneum/blob/main/interfaces/kalosm/examples/chat.rs,25,20
/floneum/floneum/tree/main/models,24,15
/floneum/floneum/tree/main/floneum/floneum,23,21
