url_path,views_total,views_unique
/floneum/floneum,335,189
/floneum/floneum/tree/main/interfaces/kalosm,113,69
/floneum/floneum/tree/main,58,31
/floneum/floneum/releases/tag/v0.2.0,50,27
/floneum/floneum/tree/main/interfaces/kalosm/examples,43,29
/floneum/floneum/tree/main/interfaces,27,10
/floneum/floneum/tree/main/models,26,16
/floneum/floneum/blob/main/interfaces/kalosm/examples/tools.rs,25,18
/floneum/floneum/tree/main/floneum/floneum,23,21
/floneum/floneum/blob/main/interfaces/kalosm/examples/chat.rs,23,19
