time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-11 00:00:00+00:00,4.0,3.0,330,48
2024-10-12 00:00:00+00:00,,,139,34
2024-10-13 00:00:00+00:00,18.0,5.0,117,37
2024-10-14 00:00:00+00:00,9.0,9.0,168,63
2024-10-15 00:00:00+00:00,5.0,5.0,137,47
2024-10-16 00:00:00+00:00,2.0,2.0,270,54
2024-10-17 00:00:00+00:00,9.0,7.0,205,45
2024-10-18 00:00:00+00:00,12.0,8.0,267,42
2024-10-19 00:00:00+00:00,21.0,3.0,156,32
2024-10-20 00:00:00+00:00,2.0,2.0,121,36
2024-10-21 00:00:00+00:00,4.0,4.0,270,38
2024-10-22 00:00:00+00:00,3.0,3.0,127,31
2024-10-23 00:00:00+00:00,3.0,3.0,256,56
2024-10-24 00:00:00+00:00,,,80,34
