time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-01 00:00:00+00:00,42.0,8.0,415,68
2024-10-02 00:00:00+00:00,1.0,1.0,258,56
2024-10-03 00:00:00+00:00,5.0,5.0,285,43
2024-10-04 00:00:00+00:00,3.0,3.0,227,43
2024-10-05 00:00:00+00:00,20.0,7.0,474,72
2024-10-06 00:00:00+00:00,14.0,10.0,282,70
2024-10-07 00:00:00+00:00,7.0,6.0,285,51
2024-10-08 00:00:00+00:00,13.0,8.0,233,64
2024-10-09 00:00:00+00:00,6.0,5.0,234,75
2024-10-10 00:00:00+00:00,10.0,9.0,210,49
2024-10-11 00:00:00+00:00,4.0,3.0,334,49
2024-10-12 00:00:00+00:00,,,139,34
2024-10-13 00:00:00+00:00,18.0,5.0,117,37
2024-10-14 00:00:00+00:00,9.0,9.0,143,58
