time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-24 00:00:00+00:00,,,85,35
2024-10-25 00:00:00+00:00,4.0,4.0,225,44
2024-10-26 00:00:00+00:00,6.0,6.0,212,38
2024-10-27 00:00:00+00:00,6.0,6.0,41,26
2024-10-28 00:00:00+00:00,21.0,4.0,129,49
2024-10-29 00:00:00+00:00,8.0,5.0,234,43
2024-10-30 00:00:00+00:00,21.0,3.0,151,44
2024-10-31 00:00:00+00:00,24.0,6.0,156,41
2024-11-01 00:00:00+00:00,20.0,6.0,171,47
2024-11-02 00:00:00+00:00,2.0,2.0,166,32
2024-11-03 00:00:00+00:00,3.0,3.0,187,40
2024-11-04 00:00:00+00:00,7.0,7.0,196,35
2024-11-05 00:00:00+00:00,34.0,11.0,67,21
2024-11-06 00:00:00+00:00,,,117,36
