url_path,views_total,views_unique
/floneum/floneum,328,186
/floneum/floneum/tree/main/interfaces/kalosm,112,69
/floneum/floneum/tree/main,52,30
/floneum/floneum/releases/tag/v0.2.0,46,25
/floneum/floneum/tree/main/interfaces/kalosm/examples,43,29
/floneum/floneum/blob/main/interfaces/kalosm/examples/chat.rs,23,19
/floneum/floneum/tree/main/floneum/floneum,22,21
/floneum/floneum/blob/main/interfaces/kalosm/examples/tools.rs,22,15
/floneum/floneum/pull/313,22,8
/floneum/floneum/tree/main/models,20,15
