url_path,views_total,views_unique
/floneum/floneum,315,184
/floneum/floneum/tree/main/interfaces/kalosm,125,78
/floneum/floneum/tree/main/interfaces/kalosm/examples,43,30
/floneum/floneum/tree/main,42,29
/floneum/floneum/releases/tag/v0.2.0,39,28
/floneum/floneum/tree/main/floneum/floneum,28,23
/floneum/floneum/blob/main/interfaces/kalosm/examples/tools.rs,25,17
/floneum/floneum/tree/main/models,20,15
/floneum/floneum/blob/main/interfaces/kalosm/examples/chat.rs,19,13
/floneum/floneum/issues,19,7
