url_path,views_total,views_unique
/floneum/floneum,362,199
/floneum/floneum/tree/main/interfaces/kalosm,106,73
/floneum/floneum/tree/main,65,36
/floneum/floneum/tree/main/interfaces/kalosm/examples,49,31
/floneum/floneum/releases/tag/v0.2.0,47,26
/floneum/floneum/tree/main/interfaces,45,19
/floneum/floneum/blob/main/interfaces/kalosm/examples/chat.rs,35,17
/floneum/floneum/tree/main/floneum/floneum,32,30
/floneum/floneum/issues,27,18
/floneum/floneum/blob/main/interfaces/kalosm/examples/transcribe.rs,27,12
