url_path,views_total,views_unique
/floneum/floneum,347,186
/floneum/floneum/tree/main/interfaces/kalosm,113,73
/floneum/floneum/tree/main,60,33
/floneum/floneum/tree/main/interfaces/kalosm/examples,50,32
/floneum/floneum/releases/tag/v0.2.0,40,24
/floneum/floneum/blob/main/interfaces/kalosm/examples/chat.rs,40,20
/floneum/floneum/issues,36,21
/floneum/floneum/tree/main/interfaces,36,19
/floneum/floneum/tree/main/floneum/floneum,32,30
/floneum/floneum/blob/main/interfaces/kalosm/examples/transcribe.rs,24,11
