time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-14 00:00:00+00:00,22,10,154,31
2024-12-15 00:00:00+00:00,77,5,117,30
2024-12-16 00:00:00+00:00,12,7,117,36
2024-12-17 00:00:00+00:00,8,6,112,35
2024-12-18 00:00:00+00:00,12,4,215,32
2024-12-19 00:00:00+00:00,2,2,112,33
2024-12-20 00:00:00+00:00,5,4,80,36
2024-12-21 00:00:00+00:00,7,6,94,21
2024-12-22 00:00:00+00:00,5,4,110,29
2024-12-23 00:00:00+00:00,11,5,77,22
2024-12-24 00:00:00+00:00,3,2,66,22
2024-12-25 00:00:00+00:00,4,4,76,19
2024-12-26 00:00:00+00:00,14,5,72,26
2024-12-27 00:00:00+00:00,39,6,148,30
