url_path,views_total,views_unique
/floneum/floneum,360,194
/floneum/floneum/tree/main/interfaces/kalosm,109,74
/floneum/floneum/tree/main,64,34
/floneum/floneum/tree/main/interfaces/kalosm/examples,47,30
/floneum/floneum/tree/main/interfaces,47,20
/floneum/floneum/releases/tag/v0.2.0,45,24
/floneum/floneum/blob/main/interfaces/kalosm/examples/chat.rs,37,20
/floneum/floneum/tree/main/floneum/floneum,31,29
/floneum/floneum/issues,31,21
/floneum/floneum/blob/main/interfaces/kalosm/examples/transcribe.rs,27,12
